vocabulary size: 137
n tunes: 23638
n train tunes: 18902.0
n validation tunes: 4736.0
40/29534 (epoch 0.135) train_loss=3.19927645 time/batch=0.66s
41/29534 (epoch 0.139) train_loss=3.24997950 time/batch=0.39s
42/29534 (epoch 0.142) train_loss=3.19245386 time/batch=0.36s
43/29534 (epoch 0.146) train_loss=3.08972454 time/batch=0.41s
44/29534 (epoch 0.149) train_loss=3.22569895 time/batch=0.53s
45/29534 (epoch 0.152) train_loss=3.25610685 time/batch=0.67s
46/29534 (epoch 0.156) train_loss=3.29259133 time/batch=0.59s
47/29534 (epoch 0.159) train_loss=3.19389343 time/batch=0.80s
48/29534 (epoch 0.163) train_loss=3.16707206 time/batch=1.01s
49/29534 (epoch 0.166) train_loss=3.10266352 time/batch=0.23s
50/29534 (epoch 0.169) train_loss=3.19468808 time/batch=0.30s
51/29534 (epoch 0.173) train_loss=3.19616675 time/batch=0.59s
52/29534 (epoch 0.176) train_loss=3.19388342 time/batch=0.58s
53/29534 (epoch 0.179) train_loss=3.32617998 time/batch=0.78s
54/29534 (epoch 0.183) train_loss=3.24996638 time/batch=0.71s
55/29534 (epoch 0.186) train_loss=3.18700409 time/batch=0.76s
56/29534 (epoch 0.190) train_loss=3.17043018 time/batch=0.55s
57/29534 (epoch 0.193) train_loss=3.21051121 time/batch=0.80s
58/29534 (epoch 0.196) train_loss=3.17253113 time/batch=0.51s
59/29534 (epoch 0.200) train_loss=3.18555331 time/batch=0.51s
60/29534 (epoch 0.203) train_loss=3.13476419 time/batch=0.38s
61/29534 (epoch 0.207) train_loss=3.04460049 time/batch=0.32s
62/29534 (epoch 0.210) train_loss=3.17629480 time/batch=0.55s
63/29534 (epoch 0.213) train_loss=3.15986753 time/batch=0.27s
64/29534 (epoch 0.217) train_loss=3.23983049 time/batch=0.54s
65/29534 (epoch 0.220) train_loss=3.11019039 time/batch=0.29s
66/29534 (epoch 0.223) train_loss=3.23387814 time/batch=1.03s
67/29534 (epoch 0.227) train_loss=3.05744457 time/batch=0.25s
68/29534 (epoch 0.230) train_loss=3.17615128 time/batch=0.61s
69/29534 (epoch 0.234) train_loss=3.26070261 time/batch=0.72s
70/29534 (epoch 0.237) train_loss=3.22207880 time/batch=0.56s
71/29534 (epoch 0.240) train_loss=3.14788628 time/batch=0.46s
72/29534 (epoch 0.244) train_loss=3.19156361 time/batch=0.87s
73/29534 (epoch 0.247) train_loss=3.13732362 time/batch=0.32s
74/29534 (epoch 0.251) train_loss=3.11572552 time/batch=0.21s
75/29534 (epoch 0.254) train_loss=3.13106775 time/batch=0.49s
76/29534 (epoch 0.257) train_loss=3.07059956 time/batch=0.43s
77/29534 (epoch 0.261) train_loss=3.13798356 time/batch=0.38s
78/29534 (epoch 0.264) train_loss=3.21331310 time/batch=0.64s
79/29534 (epoch 0.267) train_loss=3.22185302 time/batch=0.69s
80/29534 (epoch 0.271) train_loss=3.18249512 time/batch=0.67s
81/29534 (epoch 0.274) train_loss=3.16811609 time/batch=0.87s
82/29534 (epoch 0.278) train_loss=3.15385437 time/batch=0.60s
83/29534 (epoch 0.281) train_loss=3.16608477 time/batch=0.68s
84/29534 (epoch 0.284) train_loss=3.15457010 time/batch=0.39s
85/29534 (epoch 0.288) train_loss=3.18201780 time/batch=0.80s
86/29534 (epoch 0.291) train_loss=3.18180275 time/batch=0.49s
87/29534 (epoch 0.295) train_loss=3.14171195 time/batch=0.51s
88/29534 (epoch 0.298) train_loss=3.08964682 time/batch=0.40s
89/29534 (epoch 0.301) train_loss=3.08644915 time/batch=0.25s
90/29534 (epoch 0.305) train_loss=3.23885870 time/batch=0.61s
91/29534 (epoch 0.308) train_loss=3.23389888 time/batch=0.58s
92/29534 (epoch 0.312) train_loss=3.15099812 time/batch=0.62s
93/29534 (epoch 0.315) train_loss=3.15844584 time/batch=0.39s
94/29534 (epoch 0.318) train_loss=3.03973579 time/batch=0.34s
95/29534 (epoch 0.322) train_loss=3.06889129 time/batch=0.43s
96/29534 (epoch 0.325) train_loss=3.16721010 time/batch=0.69s
97/29534 (epoch 0.328) train_loss=3.04147339 time/batch=0.36s
98/29534 (epoch 0.332) train_loss=3.11588192 time/batch=0.41s
99/29534 (epoch 0.335) train_loss=3.03827381 time/batch=0.38s
100/29534 (epoch 0.339) train_loss=3.07602096 time/batch=0.47s
101/29534 (epoch 0.342) train_loss=3.30157804 time/batch=0.58s
102/29534 (epoch 0.345) train_loss=3.16696429 time/batch=0.29s
103/29534 (epoch 0.349) train_loss=3.17480659 time/batch=0.75s
104/29534 (epoch 0.352) train_loss=3.19606519 time/batch=0.82s
105/29534 (epoch 0.356) train_loss=3.26247263 time/batch=0.53s
106/29534 (epoch 0.359) train_loss=3.12307072 time/batch=0.53s
107/29534 (epoch 0.362) train_loss=2.97390223 time/batch=0.44s
108/29534 (epoch 0.366) train_loss=3.09193516 time/batch=0.46s
109/29534 (epoch 0.369) train_loss=3.18046522 time/batch=0.55s
110/29534 (epoch 0.372) train_loss=3.10970664 time/batch=0.49s
111/29534 (epoch 0.376) train_loss=3.09430194 time/batch=0.47s
112/29534 (epoch 0.379) train_loss=3.11917686 time/batch=0.39s
113/29534 (epoch 0.383) train_loss=3.14863729 time/batch=0.78s
114/29534 (epoch 0.386) train_loss=3.05110407 time/batch=0.33s
115/29534 (epoch 0.389) train_loss=2.93047762 time/batch=0.32s
116/29534 (epoch 0.393) train_loss=2.98884892 time/batch=0.45s
117/29534 (epoch 0.396) train_loss=3.20778871 time/batch=0.47s
118/29534 (epoch 0.400) train_loss=3.34292555 time/batch=0.86s
119/29534 (epoch 0.403) train_loss=3.11375856 time/batch=0.46s
120/29534 (epoch 0.406) train_loss=3.08684063 time/batch=0.47s
121/29534 (epoch 0.410) train_loss=3.03300428 time/batch=0.64s
122/29534 (epoch 0.413) train_loss=3.05082226 time/batch=0.63s
123/29534 (epoch 0.416) train_loss=3.07732987 time/batch=0.59s
124/29534 (epoch 0.420) train_loss=2.98789144 time/batch=0.27s
125/29534 (epoch 0.423) train_loss=2.89408875 time/batch=0.66s
126/29534 (epoch 0.427) train_loss=2.86997175 time/batch=0.34s
127/29534 (epoch 0.430) train_loss=2.93570328 time/batch=0.50s
128/29534 (epoch 0.433) train_loss=3.06625295 time/batch=0.42s
129/29534 (epoch 0.437) train_loss=3.51441908 time/batch=0.57s
130/29534 (epoch 0.440) train_loss=3.11964107 time/batch=0.52s
131/29534 (epoch 0.444) train_loss=3.02999592 time/batch=0.53s
132/29534 (epoch 0.447) train_loss=2.95911455 time/batch=0.46s
133/29534 (epoch 0.450) train_loss=2.93597531 time/batch=0.39s
134/29534 (epoch 0.454) train_loss=2.95649648 time/batch=0.64s
135/29534 (epoch 0.457) train_loss=2.95947647 time/batch=0.63s
136/29534 (epoch 0.460) train_loss=2.92993426 time/batch=0.56s
137/29534 (epoch 0.464) train_loss=2.87338400 time/batch=0.27s
138/29534 (epoch 0.467) train_loss=2.85308313 time/batch=0.31s
139/29534 (epoch 0.471) train_loss=2.83156419 time/batch=0.44s
140/29534 (epoch 0.474) train_loss=2.77420640 time/batch=0.43s
141/29534 (epoch 0.477) train_loss=2.95016599 time/batch=0.83s
142/29534 (epoch 0.481) train_loss=2.80032825 time/batch=0.46s
143/29534 (epoch 0.484) train_loss=2.75289106 time/batch=0.34s
144/29534 (epoch 0.488) train_loss=2.73689771 time/batch=0.44s
145/29534 (epoch 0.491) train_loss=2.77126718 time/batch=0.36s
146/29534 (epoch 0.494) train_loss=2.82738042 time/batch=0.47s
147/29534 (epoch 0.498) train_loss=2.83063579 time/batch=0.30s
148/29534 (epoch 0.501) train_loss=2.85493827 time/batch=0.65s
149/29534 (epoch 0.504) train_loss=2.78994775 time/batch=0.49s
150/29534 (epoch 0.508) train_loss=2.69362497 time/batch=0.34s
151/29534 (epoch 0.511) train_loss=2.73651505 time/batch=0.44s
152/29534 (epoch 0.515) train_loss=2.84261274 time/batch=0.35s
153/29534 (epoch 0.518) train_loss=2.88298559 time/batch=0.43s
154/29534 (epoch 0.521) train_loss=2.80233335 time/batch=0.43s
155/29534 (epoch 0.525) train_loss=2.87075496 time/batch=0.26s
156/29534 (epoch 0.528) train_loss=2.72665262 time/batch=0.44s
157/29534 (epoch 0.532) train_loss=2.85389304 time/batch=0.51s
158/29534 (epoch 0.535) train_loss=2.81489182 time/batch=0.48s
159/29534 (epoch 0.538) train_loss=2.78649330 time/batch=0.41s
160/29534 (epoch 0.542) train_loss=2.81048846 time/batch=0.51s
161/29534 (epoch 0.545) train_loss=2.78922629 time/batch=0.38s
162/29534 (epoch 0.549) train_loss=2.86242747 time/batch=0.45s
163/29534 (epoch 0.552) train_loss=2.68925619 time/batch=0.34s
164/29534 (epoch 0.555) train_loss=2.88543630 time/batch=0.49s
165/29534 (epoch 0.559) train_loss=2.88954592 time/batch=0.39s
166/29534 (epoch 0.562) train_loss=2.79337883 time/batch=0.28s
167/29534 (epoch 0.565) train_loss=2.82474566 time/batch=0.63s
168/29534 (epoch 0.569) train_loss=2.77347088 time/batch=0.28s
169/29534 (epoch 0.572) train_loss=2.76081562 time/batch=0.32s
170/29534 (epoch 0.576) train_loss=2.79246306 time/batch=0.43s
171/29534 (epoch 0.579) train_loss=2.71268582 time/batch=0.32s
172/29534 (epoch 0.582) train_loss=2.81874442 time/batch=0.52s
173/29534 (epoch 0.586) train_loss=2.74290848 time/batch=0.48s
174/29534 (epoch 0.589) train_loss=2.67212367 time/batch=0.41s
175/29534 (epoch 0.593) train_loss=2.79103470 time/batch=0.50s
176/29534 (epoch 0.596) train_loss=2.75531673 time/batch=0.35s
177/29534 (epoch 0.599) train_loss=2.67183328 time/batch=0.33s
178/29534 (epoch 0.603) train_loss=2.76874185 time/batch=0.33s
179/29534 (epoch 0.606) train_loss=2.89659619 time/batch=0.64s
180/29534 (epoch 0.609) train_loss=2.76266956 time/batch=0.39s
181/29534 (epoch 0.613) train_loss=2.68554497 time/batch=0.45s
182/29534 (epoch 0.616) train_loss=2.76145649 time/batch=0.40s
183/29534 (epoch 0.620) train_loss=2.76825762 time/batch=0.24s
184/29534 (epoch 0.623) train_loss=2.91271067 time/batch=0.55s
185/29534 (epoch 0.626) train_loss=2.65388155 time/batch=0.34s
186/29534 (epoch 0.630) train_loss=2.73052001 time/batch=0.44s
187/29534 (epoch 0.633) train_loss=2.73813391 time/batch=0.37s
188/29534 (epoch 0.637) train_loss=2.76332855 time/batch=0.46s
189/29534 (epoch 0.640) train_loss=2.61221457 time/batch=0.32s
190/29534 (epoch 0.643) train_loss=2.73875380 time/batch=0.36s
191/29534 (epoch 0.647) train_loss=2.70384336 time/batch=0.31s
192/29534 (epoch 0.650) train_loss=2.65782118 time/batch=0.42s
193/29534 (epoch 0.653) train_loss=2.66947889 time/batch=0.44s
194/29534 (epoch 0.657) train_loss=2.70472956 time/batch=0.32s
195/29534 (epoch 0.660) train_loss=2.73576140 time/batch=0.31s
196/29534 (epoch 0.664) train_loss=2.72289133 time/batch=0.31s
197/29534 (epoch 0.667) train_loss=2.73372626 time/batch=0.46s
198/29534 (epoch 0.670) train_loss=2.72534084 time/batch=0.28s
199/29534 (epoch 0.674) train_loss=2.62460470 time/batch=0.35s
200/29534 (epoch 0.677) train_loss=2.70775437 time/batch=0.38s
201/29534 (epoch 0.681) train_loss=2.60607457 time/batch=0.33s
202/29534 (epoch 0.684) train_loss=2.70458651 time/batch=0.33s
203/29534 (epoch 0.687) train_loss=2.69066238 time/batch=0.33s
204/29534 (epoch 0.691) train_loss=2.80406475 time/batch=0.40s
205/29534 (epoch 0.694) train_loss=2.70825171 time/batch=0.36s
206/29534 (epoch 0.697) train_loss=2.81720686 time/batch=0.84s
207/29534 (epoch 0.701) train_loss=2.79192901 time/batch=0.52s
208/29534 (epoch 0.704) train_loss=2.65672326 time/batch=0.44s
209/29534 (epoch 0.708) train_loss=2.57102108 time/batch=0.34s
210/29534 (epoch 0.711) train_loss=2.62962914 time/batch=0.35s
211/29534 (epoch 0.714) train_loss=2.65514803 time/batch=0.37s
212/29534 (epoch 0.718) train_loss=2.65227795 time/batch=0.36s
213/29534 (epoch 0.721) train_loss=2.63029242 time/batch=0.32s
214/29534 (epoch 0.725) train_loss=2.68687296 time/batch=0.29s
215/29534 (epoch 0.728) train_loss=2.59976578 time/batch=0.34s
216/29534 (epoch 0.731) train_loss=2.64867401 time/batch=0.41s
217/29534 (epoch 0.735) train_loss=2.75178528 time/batch=0.47s
218/29534 (epoch 0.738) train_loss=2.57140064 time/batch=0.43s
219/29534 (epoch 0.742) train_loss=2.70714569 time/batch=0.46s
220/29534 (epoch 0.745) train_loss=2.74707055 time/batch=0.40s
221/29534 (epoch 0.748) train_loss=2.68012762 time/batch=0.49s
222/29534 (epoch 0.752) train_loss=2.64640093 time/batch=0.42s
223/29534 (epoch 0.755) train_loss=2.67588425 time/batch=0.44s
224/29534 (epoch 0.758) train_loss=2.60972834 time/batch=0.35s
225/29534 (epoch 0.762) train_loss=2.79444838 time/batch=0.52s
226/29534 (epoch 0.765) train_loss=2.58484435 time/batch=0.34s
227/29534 (epoch 0.769) train_loss=2.64120531 time/batch=0.37s
228/29534 (epoch 0.772) train_loss=2.67122364 time/batch=0.49s
229/29534 (epoch 0.775) train_loss=2.71166849 time/batch=0.50s
230/29534 (epoch 0.779) train_loss=2.67617846 time/batch=0.37s
231/29534 (epoch 0.782) train_loss=2.67240024 time/batch=0.31s
232/29534 (epoch 0.786) train_loss=2.69354296 time/batch=0.47s
233/29534 (epoch 0.789) train_loss=2.75824308 time/batch=0.61s
234/29534 (epoch 0.792) train_loss=2.52714252 time/batch=0.42s
235/29534 (epoch 0.796) train_loss=2.56621575 time/batch=0.34s
236/29534 (epoch 0.799) train_loss=2.47015238 time/batch=0.34s
237/29534 (epoch 0.802) train_loss=2.42953634 time/batch=0.34s
238/29534 (epoch 0.806) train_loss=2.51925993 time/batch=0.41s
239/29534 (epoch 0.809) train_loss=2.71899128 time/batch=0.62s
240/29534 (epoch 0.813) train_loss=2.62856674 time/batch=0.36s
241/29534 (epoch 0.816) train_loss=2.66280317 time/batch=0.37s
242/29534 (epoch 0.819) train_loss=2.63526750 time/batch=0.48s
243/29534 (epoch 0.823) train_loss=2.56513667 time/batch=0.44s
244/29534 (epoch 0.826) train_loss=2.56849003 time/batch=0.35s
245/29534 (epoch 0.830) train_loss=2.48534727 time/batch=0.34s
246/29534 (epoch 0.833) train_loss=2.66882968 time/batch=0.40s
247/29534 (epoch 0.836) train_loss=2.54167891 time/batch=0.35s
248/29534 (epoch 0.840) train_loss=2.46004868 time/batch=0.33s
249/29534 (epoch 0.843) train_loss=2.62649632 time/batch=0.46s
250/29534 (epoch 0.846) train_loss=2.51387000 time/batch=0.32s
251/29534 (epoch 0.850) train_loss=2.64413857 time/batch=0.48s
252/29534 (epoch 0.853) train_loss=2.58652735 time/batch=0.41s
253/29534 (epoch 0.857) train_loss=2.63283396 time/batch=0.44s
254/29534 (epoch 0.860) train_loss=2.55027390 time/batch=0.37s
255/29534 (epoch 0.863) train_loss=2.64572930 time/batch=0.47s
256/29534 (epoch 0.867) train_loss=2.65118790 time/batch=0.47s
257/29534 (epoch 0.870) train_loss=2.51679826 time/batch=0.41s
258/29534 (epoch 0.874) train_loss=2.60109591 time/batch=0.48s
259/29534 (epoch 0.877) train_loss=2.52553749 time/batch=0.35s
260/29534 (epoch 0.880) train_loss=2.49697661 time/batch=0.43s
261/29534 (epoch 0.884) train_loss=2.57538033 time/batch=0.44s
262/29534 (epoch 0.887) train_loss=2.54088449 time/batch=0.32s
263/29534 (epoch 0.890) train_loss=2.58563280 time/batch=0.37s
264/29534 (epoch 0.894) train_loss=2.60761786 time/batch=0.40s
265/29534 (epoch 0.897) train_loss=2.66749001 time/batch=0.62s
266/29534 (epoch 0.901) train_loss=2.63642883 time/batch=0.48s
267/29534 (epoch 0.904) train_loss=2.56773329 time/batch=0.44s
268/29534 (epoch 0.907) train_loss=2.58921814 time/batch=0.49s
269/29534 (epoch 0.911) train_loss=2.48669028 time/batch=0.34s
270/29534 (epoch 0.914) train_loss=2.62436199 time/batch=0.43s
271/29534 (epoch 0.918) train_loss=2.55824614 time/batch=0.41s
272/29534 (epoch 0.921) train_loss=2.46316433 time/batch=0.42s
273/29534 (epoch 0.924) train_loss=2.58981466 time/batch=0.36s
274/29534 (epoch 0.928) train_loss=2.48934078 time/batch=0.42s
275/29534 (epoch 0.931) train_loss=2.57677174 time/batch=0.62s
276/29534 (epoch 0.935) train_loss=2.43018389 time/batch=0.33s
277/29534 (epoch 0.938) train_loss=2.69568253 time/batch=0.64s
278/29534 (epoch 0.941) train_loss=2.44778991 time/batch=0.34s
279/29534 (epoch 0.945) train_loss=2.53580236 time/batch=0.47s
280/29534 (epoch 0.948) train_loss=2.58146858 time/batch=0.37s
281/29534 (epoch 0.951) train_loss=2.52500629 time/batch=0.43s
282/29534 (epoch 0.955) train_loss=2.57548952 time/batch=0.41s
283/29534 (epoch 0.958) train_loss=2.56117630 time/batch=0.38s
284/29534 (epoch 0.962) train_loss=2.48807979 time/batch=0.42s
285/29534 (epoch 0.965) train_loss=2.47402143 time/batch=0.44s
286/29534 (epoch 0.968) train_loss=2.56002450 time/batch=0.48s
287/29534 (epoch 0.972) train_loss=2.42095852 time/batch=0.42s
288/29534 (epoch 0.975) train_loss=2.54016399 time/batch=0.33s
289/29534 (epoch 0.979) train_loss=2.49903584 time/batch=0.42s
290/29534 (epoch 0.982) train_loss=2.59591103 time/batch=0.48s
291/29534 (epoch 0.985) train_loss=2.36600494 time/batch=0.42s
292/29534 (epoch 0.989) train_loss=2.47966337 time/batch=0.48s
293/29534 (epoch 0.992) train_loss=2.35856915 time/batch=0.42s
294/29534 (epoch 0.995) train_loss=2.44854069 time/batch=0.34s
295/29534 (epoch 0.999) train_loss=2.46877241 time/batch=0.48s
296/29534 (epoch 1.002) train_loss=2.85779333 time/batch=1.32s
297/29534 (epoch 1.006) train_loss=2.61067486 time/batch=0.55s
298/29534 (epoch 1.009) train_loss=2.70260859 time/batch=0.92s
299/29534 (epoch 1.012) train_loss=2.52450562 time/batch=0.24s
300/29534 (epoch 1.016) train_loss=2.60915899 time/batch=0.72s
301/29534 (epoch 1.019) train_loss=2.60721207 time/batch=0.78s
302/29534 (epoch 1.023) train_loss=2.56919408 time/batch=0.52s
303/29534 (epoch 1.026) train_loss=2.66171503 time/batch=0.96s
304/29534 (epoch 1.029) train_loss=2.48241043 time/batch=0.18s
305/29534 (epoch 1.033) train_loss=2.68025160 time/batch=0.87s
306/29534 (epoch 1.036) train_loss=2.79824924 time/batch=1.66s
307/29534 (epoch 1.039) train_loss=2.50308633 time/batch=0.44s
308/29534 (epoch 1.043) train_loss=2.61303520 time/batch=0.52s
309/29534 (epoch 1.046) train_loss=2.67927217 time/batch=1.14s
310/29534 (epoch 1.050) train_loss=2.78028870 time/batch=2.51s
311/29534 (epoch 1.053) train_loss=2.47041368 time/batch=0.20s
312/29534 (epoch 1.056) train_loss=2.66646051 time/batch=0.88s
313/29534 (epoch 1.060) train_loss=2.73947477 time/batch=3.41s
314/29534 (epoch 1.063) train_loss=2.50314569 time/batch=0.49s
315/29534 (epoch 1.067) train_loss=2.62621760 time/batch=0.56s
316/29534 (epoch 1.070) train_loss=2.50055289 time/batch=0.27s
317/29534 (epoch 1.073) train_loss=2.61186528 time/batch=1.35s
318/29534 (epoch 1.077) train_loss=2.61742163 time/batch=0.67s
319/29534 (epoch 1.080) train_loss=2.48880196 time/batch=0.63s
320/29534 (epoch 1.083) train_loss=2.58662224 time/batch=1.36s
321/29534 (epoch 1.087) train_loss=2.59199905 time/batch=0.98s
322/29534 (epoch 1.090) train_loss=2.48452997 time/batch=0.49s
323/29534 (epoch 1.094) train_loss=2.48114920 time/batch=0.80s
324/29534 (epoch 1.097) train_loss=2.50415754 time/batch=0.67s
325/29534 (epoch 1.100) train_loss=2.63224745 time/batch=0.71s
326/29534 (epoch 1.104) train_loss=2.49476767 time/batch=0.39s
327/29534 (epoch 1.107) train_loss=2.59856272 time/batch=0.74s
328/29534 (epoch 1.111) train_loss=2.58527231 time/batch=1.01s
329/29534 (epoch 1.114) train_loss=2.56561995 time/batch=0.55s
330/29534 (epoch 1.117) train_loss=2.50266695 time/batch=0.52s
331/29534 (epoch 1.121) train_loss=2.68206501 time/batch=1.09s
332/29534 (epoch 1.124) train_loss=2.30615592 time/batch=0.36s
333/29534 (epoch 1.127) train_loss=2.47074986 time/batch=0.47s
334/29534 (epoch 1.131) train_loss=2.40923834 time/batch=0.41s
335/29534 (epoch 1.134) train_loss=2.32016277 time/batch=0.25s
336/29534 (epoch 1.138) train_loss=2.62338829 time/batch=0.74s
337/29534 (epoch 1.141) train_loss=2.56340694 time/batch=0.77s
338/29534 (epoch 1.144) train_loss=2.59094286 time/batch=0.61s
339/29534 (epoch 1.148) train_loss=2.42730570 time/batch=0.66s
340/29534 (epoch 1.151) train_loss=2.65564847 time/batch=0.60s
341/29534 (epoch 1.155) train_loss=2.54369140 time/batch=0.82s
342/29534 (epoch 1.158) train_loss=2.53932548 time/batch=0.53s
343/29534 (epoch 1.161) train_loss=2.45990467 time/batch=0.38s
344/29534 (epoch 1.165) train_loss=2.45552826 time/batch=0.28s
345/29534 (epoch 1.168) train_loss=2.46607518 time/batch=0.62s
346/29534 (epoch 1.172) train_loss=2.38506103 time/batch=0.37s
347/29534 (epoch 1.175) train_loss=2.34716773 time/batch=0.23s
348/29534 (epoch 1.178) train_loss=2.51692629 time/batch=4.24s
349/29534 (epoch 1.182) train_loss=2.42948079 time/batch=0.37s
350/29534 (epoch 1.185) train_loss=2.52502871 time/batch=0.68s
351/29534 (epoch 1.188) train_loss=2.60415840 time/batch=0.57s
352/29534 (epoch 1.192) train_loss=2.35586691 time/batch=0.33s
353/29534 (epoch 1.195) train_loss=2.58304310 time/batch=0.89s
354/29534 (epoch 1.199) train_loss=2.48501921 time/batch=0.28s
355/29534 (epoch 1.202) train_loss=2.49145412 time/batch=0.46s
356/29534 (epoch 1.205) train_loss=2.56265283 time/batch=5.26s
357/29534 (epoch 1.209) train_loss=2.36856699 time/batch=0.47s
358/29534 (epoch 1.212) train_loss=2.49720359 time/batch=0.68s
359/29534 (epoch 1.216) train_loss=2.41364193 time/batch=0.80s
360/29534 (epoch 1.219) train_loss=2.42408466 time/batch=0.80s
361/29534 (epoch 1.222) train_loss=2.38684416 time/batch=0.50s
362/29534 (epoch 1.226) train_loss=2.35366821 time/batch=0.46s
363/29534 (epoch 1.229) train_loss=2.41549730 time/batch=0.50s
364/29534 (epoch 1.232) train_loss=2.52244329 time/batch=0.57s
365/29534 (epoch 1.236) train_loss=2.40473032 time/batch=0.33s
366/29534 (epoch 1.239) train_loss=2.50428104 time/batch=0.38s
367/29534 (epoch 1.243) train_loss=2.31812525 time/batch=0.41s
368/29534 (epoch 1.246) train_loss=2.43217897 time/batch=0.53s
369/29534 (epoch 1.249) train_loss=2.34451556 time/batch=0.21s
370/29534 (epoch 1.253) train_loss=2.52341843 time/batch=0.64s
371/29534 (epoch 1.256) train_loss=2.43904209 time/batch=0.39s
372/29534 (epoch 1.260) train_loss=2.34649396 time/batch=0.36s
373/29534 (epoch 1.263) train_loss=2.53867936 time/batch=0.59s
374/29534 (epoch 1.266) train_loss=2.46440554 time/batch=0.45s
375/29534 (epoch 1.270) train_loss=2.35891438 time/batch=0.39s
376/29534 (epoch 1.273) train_loss=2.39953327 time/batch=0.40s
377/29534 (epoch 1.276) train_loss=2.45158911 time/batch=0.51s
378/29534 (epoch 1.280) train_loss=2.42633200 time/batch=0.65s
379/29534 (epoch 1.283) train_loss=2.42600250 time/batch=0.74s
380/29534 (epoch 1.287) train_loss=2.41111803 time/batch=0.51s
381/29534 (epoch 1.290) train_loss=2.26704216 time/batch=0.41s
382/29534 (epoch 1.293) train_loss=2.38263774 time/batch=0.40s
383/29534 (epoch 1.297) train_loss=2.43602514 time/batch=0.24s
384/29534 (epoch 1.300) train_loss=2.33512878 time/batch=0.25s
385/29534 (epoch 1.304) train_loss=2.41848588 time/batch=0.27s
386/29534 (epoch 1.307) train_loss=2.43074203 time/batch=0.49s
387/29534 (epoch 1.310) train_loss=2.55557871 time/batch=0.56s
388/29534 (epoch 1.314) train_loss=2.39925456 time/batch=0.47s
389/29534 (epoch 1.317) train_loss=2.40891886 time/batch=0.39s
390/29534 (epoch 1.320) train_loss=2.39922237 time/batch=0.50s
391/29534 (epoch 1.324) train_loss=2.40619230 time/batch=0.51s
392/29534 (epoch 1.327) train_loss=2.34503388 time/batch=0.29s
393/29534 (epoch 1.331) train_loss=2.31294107 time/batch=0.27s
394/29534 (epoch 1.334) train_loss=2.35415459 time/batch=0.83s
395/29534 (epoch 1.337) train_loss=2.39763308 time/batch=0.61s
396/29534 (epoch 1.341) train_loss=2.33739018 time/batch=0.63s
