vocabulary size: 137
n tunes: 23637
n train tunes: 22437.0
n validation tunes: 1200.0
31/89748 (epoch 0.069) train_loss=3.29242969 time/batch=0.90s
32/89748 (epoch 0.071) train_loss=3.44278884 time/batch=7.74s
33/89748 (epoch 0.074) train_loss=3.15159225 time/batch=1.17s
34/89748 (epoch 0.076) train_loss=3.33975339 time/batch=1.66s
35/89748 (epoch 0.078) train_loss=3.21906996 time/batch=0.66s
36/89748 (epoch 0.080) train_loss=3.26742172 time/batch=0.84s
37/89748 (epoch 0.082) train_loss=3.17587423 time/batch=0.43s
38/89748 (epoch 0.085) train_loss=3.27845764 time/batch=1.41s
39/89748 (epoch 0.087) train_loss=3.23440552 time/batch=0.77s
40/89748 (epoch 0.089) train_loss=3.15049195 time/batch=0.33s
41/89748 (epoch 0.091) train_loss=3.20609188 time/batch=1.25s
42/89748 (epoch 0.094) train_loss=3.18324327 time/batch=0.78s
43/89748 (epoch 0.096) train_loss=3.20807362 time/batch=0.36s
44/89748 (epoch 0.098) train_loss=3.16746759 time/batch=0.28s
45/89748 (epoch 0.100) train_loss=3.32361436 time/batch=0.83s
46/89748 (epoch 0.103) train_loss=3.24742699 time/batch=1.84s
47/89748 (epoch 0.105) train_loss=3.12347913 time/batch=0.50s
48/89748 (epoch 0.107) train_loss=3.19222045 time/batch=0.68s
49/89748 (epoch 0.109) train_loss=3.23747158 time/batch=0.96s
50/89748 (epoch 0.111) train_loss=3.25507402 time/batch=0.55s
51/89748 (epoch 0.114) train_loss=3.37949824 time/batch=0.47s
52/89748 (epoch 0.116) train_loss=3.15573478 time/batch=0.30s
53/89748 (epoch 0.118) train_loss=3.28159285 time/batch=1.07s
54/89748 (epoch 0.120) train_loss=3.29656363 time/batch=1.38s
55/89748 (epoch 0.123) train_loss=3.25313067 time/batch=1.24s
56/89748 (epoch 0.125) train_loss=3.15656114 time/batch=0.53s
57/89748 (epoch 0.127) train_loss=3.22300887 time/batch=1.09s
58/89748 (epoch 0.129) train_loss=3.13011384 time/batch=1.24s
59/89748 (epoch 0.131) train_loss=3.18845272 time/batch=1.51s
60/89748 (epoch 0.134) train_loss=3.13471723 time/batch=0.47s
61/89748 (epoch 0.136) train_loss=3.20782709 time/batch=0.32s
62/89748 (epoch 0.138) train_loss=3.08115888 time/batch=0.41s
63/89748 (epoch 0.140) train_loss=3.14340568 time/batch=0.44s
64/89748 (epoch 0.143) train_loss=3.32661462 time/batch=1.92s
65/89748 (epoch 0.145) train_loss=3.16668701 time/batch=0.34s
66/89748 (epoch 0.147) train_loss=3.14578295 time/batch=0.55s
67/89748 (epoch 0.149) train_loss=3.19745970 time/batch=1.27s
68/89748 (epoch 0.152) train_loss=3.21796370 time/batch=0.60s
69/89748 (epoch 0.154) train_loss=3.30818868 time/batch=0.89s
70/89748 (epoch 0.156) train_loss=3.24107099 time/batch=1.20s
71/89748 (epoch 0.158) train_loss=3.19178891 time/batch=0.67s
72/89748 (epoch 0.160) train_loss=3.21328545 time/batch=0.84s
73/89748 (epoch 0.163) train_loss=3.17625642 time/batch=1.27s
74/89748 (epoch 0.165) train_loss=3.10483599 time/batch=0.33s
75/89748 (epoch 0.167) train_loss=3.25290394 time/batch=0.88s
76/89748 (epoch 0.169) train_loss=3.18490911 time/batch=0.72s
77/89748 (epoch 0.172) train_loss=3.19177413 time/batch=0.57s
78/89748 (epoch 0.174) train_loss=3.25237632 time/batch=1.07s
79/89748 (epoch 0.176) train_loss=3.03673005 time/batch=0.35s
80/89748 (epoch 0.178) train_loss=3.12483025 time/batch=0.57s
81/89748 (epoch 0.181) train_loss=3.17934871 time/batch=0.41s
82/89748 (epoch 0.183) train_loss=3.16375422 time/batch=0.99s
83/89748 (epoch 0.185) train_loss=3.16124678 time/batch=1.12s
84/89748 (epoch 0.187) train_loss=3.10174274 time/batch=0.46s
85/89748 (epoch 0.189) train_loss=3.14347863 time/batch=0.67s
86/89748 (epoch 0.192) train_loss=3.09585500 time/batch=0.60s
87/89748 (epoch 0.194) train_loss=3.40607905 time/batch=1.55s
88/89748 (epoch 0.196) train_loss=3.15409470 time/batch=0.55s
89/89748 (epoch 0.198) train_loss=3.26176739 time/batch=1.21s
90/89748 (epoch 0.201) train_loss=3.15884447 time/batch=0.36s
91/89748 (epoch 0.203) train_loss=3.07635236 time/batch=0.96s
92/89748 (epoch 0.205) train_loss=3.16759586 time/batch=0.90s
93/89748 (epoch 0.207) train_loss=3.13092828 time/batch=0.98s
94/89748 (epoch 0.209) train_loss=3.19241071 time/batch=0.79s
95/89748 (epoch 0.212) train_loss=3.10116506 time/batch=0.37s
96/89748 (epoch 0.214) train_loss=3.11666560 time/batch=0.82s
97/89748 (epoch 0.216) train_loss=3.14009881 time/batch=0.67s
98/89748 (epoch 0.218) train_loss=3.32234573 time/batch=1.27s
99/89748 (epoch 0.221) train_loss=3.06361890 time/batch=0.62s
100/89748 (epoch 0.223) train_loss=3.26007867 time/batch=1.02s
101/89748 (epoch 0.225) train_loss=3.15808344 time/batch=1.13s
102/89748 (epoch 0.227) train_loss=3.20136499 time/batch=1.51s
103/89748 (epoch 0.230) train_loss=3.14251184 time/batch=0.67s
104/89748 (epoch 0.232) train_loss=3.05338001 time/batch=0.48s
105/89748 (epoch 0.234) train_loss=3.07852435 time/batch=0.65s
106/89748 (epoch 0.236) train_loss=3.00619006 time/batch=0.62s
107/89748 (epoch 0.238) train_loss=2.99265790 time/batch=0.38s
108/89748 (epoch 0.241) train_loss=3.11507750 time/batch=0.45s
109/89748 (epoch 0.243) train_loss=3.14172268 time/batch=0.54s
110/89748 (epoch 0.245) train_loss=3.13329959 time/batch=0.44s
111/89748 (epoch 0.247) train_loss=3.13130784 time/batch=0.42s
112/89748 (epoch 0.250) train_loss=3.07723570 time/batch=0.46s
113/89748 (epoch 0.252) train_loss=3.21551085 time/batch=0.86s
114/89748 (epoch 0.254) train_loss=3.06765318 time/batch=0.43s
115/89748 (epoch 0.256) train_loss=4.51974678 time/batch=0.83s
116/89748 (epoch 0.259) train_loss=3.26445341 time/batch=1.07s
117/89748 (epoch 0.261) train_loss=3.06570792 time/batch=0.59s
118/89748 (epoch 0.263) train_loss=3.17330933 time/batch=1.56s
119/89748 (epoch 0.265) train_loss=3.13349271 time/batch=0.70s
120/89748 (epoch 0.267) train_loss=3.24037099 time/batch=0.84s
121/89748 (epoch 0.270) train_loss=3.19428897 time/batch=0.88s
122/89748 (epoch 0.272) train_loss=3.19992065 time/batch=0.94s
123/89748 (epoch 0.274) train_loss=3.14536405 time/batch=0.65s
124/89748 (epoch 0.276) train_loss=3.12289643 time/batch=0.55s
125/89748 (epoch 0.279) train_loss=3.13178921 time/batch=0.70s
126/89748 (epoch 0.281) train_loss=3.06055498 time/batch=0.47s
127/89748 (epoch 0.283) train_loss=3.11025500 time/batch=0.54s
128/89748 (epoch 0.285) train_loss=3.11867237 time/batch=0.92s
129/89748 (epoch 0.287) train_loss=3.20903492 time/batch=0.87s
130/89748 (epoch 0.290) train_loss=3.12267995 time/batch=0.94s
131/89748 (epoch 0.292) train_loss=3.18495178 time/batch=0.60s
132/89748 (epoch 0.294) train_loss=3.09482288 time/batch=0.42s
133/89748 (epoch 0.296) train_loss=3.01132965 time/batch=0.50s
134/89748 (epoch 0.299) train_loss=3.13635635 time/batch=0.44s
135/89748 (epoch 0.301) train_loss=3.27559757 time/batch=1.11s
136/89748 (epoch 0.303) train_loss=3.11436129 time/batch=0.74s
137/89748 (epoch 0.305) train_loss=3.25039721 time/batch=1.06s
138/89748 (epoch 0.308) train_loss=3.22199273 time/batch=0.90s
139/89748 (epoch 0.310) train_loss=3.22331786 time/batch=0.81s
140/89748 (epoch 0.312) train_loss=3.17015433 time/batch=0.80s
141/89748 (epoch 0.314) train_loss=3.20701003 time/batch=0.79s
142/89748 (epoch 0.316) train_loss=3.11725950 time/batch=0.65s
143/89748 (epoch 0.319) train_loss=3.10364628 time/batch=0.70s
144/89748 (epoch 0.321) train_loss=3.06280828 time/batch=0.34s
145/89748 (epoch 0.323) train_loss=3.22797942 time/batch=1.89s
146/89748 (epoch 0.325) train_loss=3.15154719 time/batch=0.59s
147/89748 (epoch 0.328) train_loss=3.17295218 time/batch=0.74s
148/89748 (epoch 0.330) train_loss=3.20634580 time/batch=0.96s
149/89748 (epoch 0.332) train_loss=3.19259596 time/batch=0.86s
150/89748 (epoch 0.334) train_loss=3.21455669 time/batch=0.77s
151/89748 (epoch 0.336) train_loss=3.19350600 time/batch=0.72s
152/89748 (epoch 0.339) train_loss=3.12600827 time/batch=0.55s
153/89748 (epoch 0.341) train_loss=3.12940645 time/batch=0.57s
154/89748 (epoch 0.343) train_loss=2.99881363 time/batch=0.63s
155/89748 (epoch 0.345) train_loss=3.18089294 time/batch=0.75s
156/89748 (epoch 0.348) train_loss=3.03541684 time/batch=0.34s
157/89748 (epoch 0.350) train_loss=3.18842244 time/batch=0.76s
158/89748 (epoch 0.352) train_loss=3.14744473 time/batch=1.00s
159/89748 (epoch 0.354) train_loss=3.12120175 time/batch=0.67s
160/89748 (epoch 0.357) train_loss=3.12698841 time/batch=0.77s
161/89748 (epoch 0.359) train_loss=3.23195052 time/batch=0.80s
162/89748 (epoch 0.361) train_loss=3.06562376 time/batch=0.42s
163/89748 (epoch 0.363) train_loss=2.98368859 time/batch=0.49s
164/89748 (epoch 0.365) train_loss=3.16036701 time/batch=0.72s
165/89748 (epoch 0.368) train_loss=3.01830339 time/batch=0.38s
166/89748 (epoch 0.370) train_loss=3.09194016 time/batch=0.69s
167/89748 (epoch 0.372) train_loss=2.94773483 time/batch=0.61s
168/89748 (epoch 0.374) train_loss=3.17436576 time/batch=1.02s
169/89748 (epoch 0.377) train_loss=3.05362296 time/batch=0.68s
170/89748 (epoch 0.379) train_loss=3.17801023 time/batch=0.97s
171/89748 (epoch 0.381) train_loss=2.99483156 time/batch=0.46s
172/89748 (epoch 0.383) train_loss=3.16938496 time/batch=0.82s
173/89748 (epoch 0.386) train_loss=3.10557008 time/batch=0.39s
174/89748 (epoch 0.388) train_loss=3.14287376 time/batch=0.94s
175/89748 (epoch 0.390) train_loss=3.12814045 time/batch=0.70s
176/89748 (epoch 0.392) train_loss=3.08938980 time/batch=0.60s
177/89748 (epoch 0.394) train_loss=3.02205801 time/batch=0.45s
178/89748 (epoch 0.397) train_loss=3.04219222 time/batch=0.48s
179/89748 (epoch 0.399) train_loss=3.17634940 time/batch=1.17s
180/89748 (epoch 0.401) train_loss=3.01417136 time/batch=0.37s
181/89748 (epoch 0.403) train_loss=3.05027127 time/batch=0.44s
182/89748 (epoch 0.406) train_loss=3.21470356 time/batch=1.00s
183/89748 (epoch 0.408) train_loss=3.15192914 time/batch=0.99s
184/89748 (epoch 0.410) train_loss=3.09538150 time/batch=0.72s
185/89748 (epoch 0.412) train_loss=3.09106398 time/batch=0.76s
186/89748 (epoch 0.414) train_loss=3.23531723 time/batch=0.80s
187/89748 (epoch 0.417) train_loss=3.20905209 time/batch=1.00s
188/89748 (epoch 0.419) train_loss=3.10027695 time/batch=0.50s
189/89748 (epoch 0.421) train_loss=3.17627311 time/batch=1.06s
190/89748 (epoch 0.423) train_loss=3.05915403 time/batch=0.46s
191/89748 (epoch 0.426) train_loss=3.06627440 time/batch=0.52s
192/89748 (epoch 0.428) train_loss=3.00394106 time/batch=0.60s
193/89748 (epoch 0.430) train_loss=3.04475021 time/batch=0.51s
194/89748 (epoch 0.432) train_loss=3.04482365 time/batch=0.72s
195/89748 (epoch 0.435) train_loss=3.16199660 time/batch=0.81s
196/89748 (epoch 0.437) train_loss=3.05504942 time/batch=0.69s
197/89748 (epoch 0.439) train_loss=3.24925280 time/batch=0.72s
198/89748 (epoch 0.441) train_loss=3.13029051 time/batch=0.73s
199/89748 (epoch 0.443) train_loss=3.15443468 time/batch=0.75s
200/89748 (epoch 0.446) train_loss=3.12012267 time/batch=0.40s
201/89748 (epoch 0.448) train_loss=3.14320159 time/batch=0.99s
202/89748 (epoch 0.450) train_loss=3.21949887 time/batch=0.84s
203/89748 (epoch 0.452) train_loss=3.18030810 time/batch=0.80s
204/89748 (epoch 0.455) train_loss=3.06664228 time/batch=0.42s
205/89748 (epoch 0.457) train_loss=3.17566705 time/batch=0.86s
206/89748 (epoch 0.459) train_loss=3.08263445 time/batch=0.50s
207/89748 (epoch 0.461) train_loss=3.03447127 time/batch=0.53s
208/89748 (epoch 0.464) train_loss=2.96363640 time/batch=0.48s
209/89748 (epoch 0.466) train_loss=3.06392479 time/batch=0.71s
210/89748 (epoch 0.468) train_loss=3.09398746 time/batch=0.91s
211/89748 (epoch 0.470) train_loss=3.05190921 time/batch=0.42s
212/89748 (epoch 0.472) train_loss=3.22224689 time/batch=0.93s
213/89748 (epoch 0.475) train_loss=3.10647702 time/batch=0.89s
214/89748 (epoch 0.477) train_loss=3.08490014 time/batch=0.54s
215/89748 (epoch 0.479) train_loss=3.05583119 time/batch=0.67s
216/89748 (epoch 0.481) train_loss=3.21216750 time/batch=1.25s
217/89748 (epoch 0.484) train_loss=3.17396975 time/batch=0.48s
218/89748 (epoch 0.486) train_loss=3.07161498 time/batch=0.48s
219/89748 (epoch 0.488) train_loss=3.10784078 time/batch=0.69s
220/89748 (epoch 0.490) train_loss=3.02116084 time/batch=0.50s
221/89748 (epoch 0.492) train_loss=3.35016847 time/batch=0.54s
222/89748 (epoch 0.495) train_loss=3.28906727 time/batch=0.89s
223/89748 (epoch 0.497) train_loss=3.15091300 time/batch=0.74s
224/89748 (epoch 0.499) train_loss=2.94339800 time/batch=0.49s
225/89748 (epoch 0.501) train_loss=3.08239317 time/batch=0.60s
226/89748 (epoch 0.504) train_loss=3.16751552 time/batch=1.00s
227/89748 (epoch 0.506) train_loss=3.09933782 time/batch=0.69s
228/89748 (epoch 0.508) train_loss=3.08998656 time/batch=0.47s
229/89748 (epoch 0.510) train_loss=3.12504458 time/batch=0.56s
230/89748 (epoch 0.513) train_loss=3.19389892 time/batch=0.78s
231/89748 (epoch 0.515) train_loss=3.02832937 time/batch=0.49s
232/89748 (epoch 0.517) train_loss=3.03775263 time/batch=0.64s
233/89748 (epoch 0.519) train_loss=3.10463667 time/batch=0.90s
234/89748 (epoch 0.521) train_loss=3.07475829 time/batch=0.53s
235/89748 (epoch 0.524) train_loss=3.18410397 time/batch=0.94s
236/89748 (epoch 0.526) train_loss=3.30755663 time/batch=0.74s
237/89748 (epoch 0.528) train_loss=3.06959105 time/batch=0.52s
238/89748 (epoch 0.530) train_loss=3.11103201 time/batch=0.56s
239/89748 (epoch 0.533) train_loss=3.20552158 time/batch=0.86s
240/89748 (epoch 0.535) train_loss=3.09440970 time/batch=0.66s
241/89748 (epoch 0.537) train_loss=3.07764530 time/batch=0.64s
242/89748 (epoch 0.539) train_loss=3.14388609 time/batch=0.86s
243/89748 (epoch 0.542) train_loss=3.15533447 time/batch=0.57s
244/89748 (epoch 0.544) train_loss=3.08399534 time/batch=0.65s
245/89748 (epoch 0.546) train_loss=3.12769651 time/batch=0.57s
246/89748 (epoch 0.548) train_loss=3.07927036 time/batch=0.70s
247/89748 (epoch 0.550) train_loss=3.06614733 time/batch=0.58s
248/89748 (epoch 0.553) train_loss=3.05008483 time/batch=0.71s
249/89748 (epoch 0.555) train_loss=3.03595662 time/batch=0.94s
250/89748 (epoch 0.557) train_loss=3.00801420 time/batch=0.35s
251/89748 (epoch 0.559) train_loss=3.22967339 time/batch=0.69s
252/89748 (epoch 0.562) train_loss=3.19767022 time/batch=0.87s
253/89748 (epoch 0.564) train_loss=3.11029291 time/batch=0.59s
254/89748 (epoch 0.566) train_loss=3.07701707 time/batch=0.58s
255/89748 (epoch 0.568) train_loss=3.06962085 time/batch=0.70s
256/89748 (epoch 0.570) train_loss=3.08264875 time/batch=0.56s
257/89748 (epoch 0.573) train_loss=3.21851516 time/batch=0.90s
258/89748 (epoch 0.575) train_loss=3.00209546 time/batch=0.62s
259/89748 (epoch 0.577) train_loss=3.12608123 time/batch=0.54s
260/89748 (epoch 0.579) train_loss=2.96089172 time/batch=0.64s
261/89748 (epoch 0.582) train_loss=3.06385303 time/batch=0.51s
262/89748 (epoch 0.584) train_loss=3.07189631 time/batch=0.48s
263/89748 (epoch 0.586) train_loss=3.12013054 time/batch=0.69s
264/89748 (epoch 0.588) train_loss=3.13519645 time/batch=0.61s
265/89748 (epoch 0.591) train_loss=3.02743888 time/batch=0.53s
266/89748 (epoch 0.593) train_loss=2.98964477 time/batch=0.42s
267/89748 (epoch 0.595) train_loss=3.01986098 time/batch=0.71s
268/89748 (epoch 0.597) train_loss=3.02571654 time/batch=0.64s
269/89748 (epoch 0.599) train_loss=3.12251091 time/batch=0.68s
270/89748 (epoch 0.602) train_loss=3.16862082 time/batch=0.76s
271/89748 (epoch 0.604) train_loss=3.12463832 time/batch=0.76s
272/89748 (epoch 0.606) train_loss=3.09041858 time/batch=0.44s
273/89748 (epoch 0.608) train_loss=3.06870699 time/batch=0.59s
274/89748 (epoch 0.611) train_loss=3.27227592 time/batch=0.93s
275/89748 (epoch 0.613) train_loss=3.11763644 time/batch=0.77s
276/89748 (epoch 0.615) train_loss=3.06274891 time/batch=0.56s
277/89748 (epoch 0.617) train_loss=3.13431239 time/batch=0.88s
278/89748 (epoch 0.620) train_loss=3.00223565 time/batch=0.64s
279/89748 (epoch 0.622) train_loss=2.98669934 time/batch=0.94s
280/89748 (epoch 0.624) train_loss=3.06456804 time/batch=0.78s
281/89748 (epoch 0.626) train_loss=2.93960690 time/batch=0.63s
282/89748 (epoch 0.628) train_loss=3.24673033 time/batch=0.90s
283/89748 (epoch 0.631) train_loss=3.04459167 time/batch=0.62s
284/89748 (epoch 0.633) train_loss=2.96308255 time/batch=0.66s
285/89748 (epoch 0.635) train_loss=2.96122360 time/batch=0.47s
286/89748 (epoch 0.637) train_loss=3.07449031 time/batch=0.71s
287/89748 (epoch 0.640) train_loss=2.91621828 time/batch=0.62s
288/89748 (epoch 0.642) train_loss=2.99325824 time/batch=0.48s
289/89748 (epoch 0.644) train_loss=3.04881096 time/batch=0.48s
290/89748 (epoch 0.646) train_loss=3.00550294 time/batch=0.51s
291/89748 (epoch 0.648) train_loss=3.05066895 time/batch=0.76s
292/89748 (epoch 0.651) train_loss=2.97324514 time/batch=0.91s
293/89748 (epoch 0.653) train_loss=2.88053799 time/batch=0.50s
294/89748 (epoch 0.655) train_loss=2.96686339 time/batch=0.72s
295/89748 (epoch 0.657) train_loss=3.16847706 time/batch=0.68s
296/89748 (epoch 0.660) train_loss=3.15221143 time/batch=0.50s
297/89748 (epoch 0.662) train_loss=2.97974730 time/batch=0.49s
298/89748 (epoch 0.664) train_loss=3.12515926 time/batch=0.91s
299/89748 (epoch 0.666) train_loss=3.05469823 time/batch=0.56s
300/89748 (epoch 0.669) train_loss=2.90842104 time/batch=0.49s
301/89748 (epoch 0.671) train_loss=3.04494929 time/batch=0.64s
302/89748 (epoch 0.673) train_loss=3.17552066 time/batch=0.53s
303/89748 (epoch 0.675) train_loss=3.00476122 time/batch=0.53s
304/89748 (epoch 0.677) train_loss=2.98003411 time/batch=0.74s
305/89748 (epoch 0.680) train_loss=3.01594806 time/batch=0.58s
306/89748 (epoch 0.682) train_loss=3.11888433 time/batch=0.50s
307/89748 (epoch 0.684) train_loss=3.15967155 time/batch=0.74s
308/89748 (epoch 0.686) train_loss=3.00946474 time/batch=0.60s
309/89748 (epoch 0.689) train_loss=3.03100252 time/batch=0.59s
310/89748 (epoch 0.691) train_loss=3.01756668 time/batch=0.62s
311/89748 (epoch 0.693) train_loss=3.08831120 time/batch=0.66s
312/89748 (epoch 0.695) train_loss=3.10875249 time/batch=0.56s
313/89748 (epoch 0.698) train_loss=3.12641406 time/batch=0.51s
314/89748 (epoch 0.700) train_loss=2.95069766 time/batch=0.47s
315/89748 (epoch 0.702) train_loss=3.08206773 time/batch=0.69s
316/89748 (epoch 0.704) train_loss=3.12232351 time/batch=0.59s
317/89748 (epoch 0.706) train_loss=3.02219296 time/batch=0.72s
318/89748 (epoch 0.709) train_loss=3.05582142 time/batch=0.95s
319/89748 (epoch 0.711) train_loss=3.11924767 time/batch=0.57s
320/89748 (epoch 0.713) train_loss=3.06473756 time/batch=0.56s
321/89748 (epoch 0.715) train_loss=3.06570554 time/batch=0.54s
322/89748 (epoch 0.718) train_loss=2.93177533 time/batch=0.49s
323/89748 (epoch 0.720) train_loss=3.02970457 time/batch=0.54s
324/89748 (epoch 0.722) train_loss=2.97807407 time/batch=0.72s
325/89748 (epoch 0.724) train_loss=2.91169000 time/batch=0.61s
326/89748 (epoch 0.726) train_loss=2.97119999 time/batch=0.68s
327/89748 (epoch 0.729) train_loss=3.06843519 time/batch=0.92s
328/89748 (epoch 0.731) train_loss=2.93102384 time/batch=0.47s
329/89748 (epoch 0.733) train_loss=3.08966279 time/batch=0.55s
330/89748 (epoch 0.735) train_loss=2.97216725 time/batch=0.71s
331/89748 (epoch 0.738) train_loss=3.01419878 time/batch=0.75s
332/89748 (epoch 0.740) train_loss=2.91846490 time/batch=0.61s
333/89748 (epoch 0.742) train_loss=2.95596194 time/batch=0.65s
334/89748 (epoch 0.744) train_loss=2.94111204 time/batch=0.47s
335/89748 (epoch 0.747) train_loss=3.38724637 time/batch=0.68s
336/89748 (epoch 0.749) train_loss=2.96621490 time/batch=0.49s
337/89748 (epoch 0.751) train_loss=3.16281247 time/batch=0.91s
338/89748 (epoch 0.753) train_loss=3.00886989 time/batch=0.44s
339/89748 (epoch 0.755) train_loss=2.86389470 time/batch=0.49s
340/89748 (epoch 0.758) train_loss=3.07688904 time/batch=0.65s
341/89748 (epoch 0.760) train_loss=3.17760921 time/batch=0.69s
342/89748 (epoch 0.762) train_loss=3.15576887 time/batch=0.65s
343/89748 (epoch 0.764) train_loss=3.05770564 time/batch=0.59s
344/89748 (epoch 0.767) train_loss=3.05681992 time/batch=0.66s
345/89748 (epoch 0.769) train_loss=3.05905271 time/batch=0.70s
346/89748 (epoch 0.771) train_loss=3.02170348 time/batch=0.61s
347/89748 (epoch 0.773) train_loss=3.11591458 time/batch=0.65s
348/89748 (epoch 0.776) train_loss=3.05647159 time/batch=0.70s
349/89748 (epoch 0.778) train_loss=3.03017926 time/batch=0.60s
350/89748 (epoch 0.780) train_loss=3.12458682 time/batch=0.51s
351/89748 (epoch 0.782) train_loss=3.06682730 time/batch=0.64s
352/89748 (epoch 0.784) train_loss=3.05269575 time/batch=0.60s
353/89748 (epoch 0.787) train_loss=3.10121536 time/batch=0.72s
354/89748 (epoch 0.789) train_loss=2.99366093 time/batch=0.51s
355/89748 (epoch 0.791) train_loss=3.02953792 time/batch=0.48s
356/89748 (epoch 0.793) train_loss=3.04733944 time/batch=0.68s
357/89748 (epoch 0.796) train_loss=3.00687504 time/batch=0.60s
358/89748 (epoch 0.798) train_loss=3.08396316 time/batch=0.47s
359/89748 (epoch 0.800) train_loss=3.10473442 time/batch=0.62s
360/89748 (epoch 0.802) train_loss=2.96260667 time/batch=0.47s
361/89748 (epoch 0.804) train_loss=3.13612914 time/batch=0.57s
362/89748 (epoch 0.807) train_loss=3.02737975 time/batch=0.59s
363/89748 (epoch 0.809) train_loss=3.06868076 time/batch=0.73s
364/89748 (epoch 0.811) train_loss=2.93218017 time/batch=0.63s
365/89748 (epoch 0.813) train_loss=3.32087207 time/batch=0.66s
366/89748 (epoch 0.816) train_loss=3.08161259 time/batch=0.56s
367/89748 (epoch 0.818) train_loss=3.03419447 time/batch=0.55s
368/89748 (epoch 0.820) train_loss=3.07892537 time/batch=0.67s
369/89748 (epoch 0.822) train_loss=3.05555749 time/batch=0.66s
370/89748 (epoch 0.825) train_loss=2.97370577 time/batch=0.50s
371/89748 (epoch 0.827) train_loss=3.20928574 time/batch=0.73s
372/89748 (epoch 0.829) train_loss=3.12907624 time/batch=0.74s
373/89748 (epoch 0.831) train_loss=3.04630494 time/batch=0.54s
374/89748 (epoch 0.833) train_loss=3.08323812 time/batch=0.92s
375/89748 (epoch 0.836) train_loss=3.03149533 time/batch=0.55s
376/89748 (epoch 0.838) train_loss=3.00458360 time/batch=0.54s
377/89748 (epoch 0.840) train_loss=3.09575438 time/batch=0.69s
378/89748 (epoch 0.842) train_loss=3.13707566 time/batch=0.65s
379/89748 (epoch 0.845) train_loss=2.97405028 time/batch=0.49s
380/89748 (epoch 0.847) train_loss=3.02024460 time/batch=0.60s
381/89748 (epoch 0.849) train_loss=2.98036408 time/batch=0.63s
382/89748 (epoch 0.851) train_loss=2.97186089 time/batch=0.48s
383/89748 (epoch 0.854) train_loss=2.93634963 time/batch=0.49s
384/89748 (epoch 0.856) train_loss=3.02703238 time/batch=0.65s
385/89748 (epoch 0.858) train_loss=3.10032964 time/batch=0.65s
386/89748 (epoch 0.860) train_loss=2.99144578 time/batch=0.63s
387/89748 (epoch 0.862) train_loss=2.96977115 time/batch=0.48s
388/89748 (epoch 0.865) train_loss=3.08241391 time/batch=0.73s
389/89748 (epoch 0.867) train_loss=3.06766462 time/batch=0.67s
390/89748 (epoch 0.869) train_loss=2.98982954 time/batch=0.61s
391/89748 (epoch 0.871) train_loss=2.83059192 time/batch=0.62s
392/89748 (epoch 0.874) train_loss=2.98560238 time/batch=0.70s
393/89748 (epoch 0.876) train_loss=2.85554957 time/batch=0.48s
394/89748 (epoch 0.878) train_loss=2.98127794 time/batch=0.62s
395/89748 (epoch 0.880) train_loss=3.12633729 time/batch=0.91s
396/89748 (epoch 0.882) train_loss=2.94489098 time/batch=0.61s
