vocabulary size: 137
n tunes: 23637
n train tunes: 22437.0
n validation tunes: 1200.0
31/44874 (epoch 0.069) train_loss=3.29161525 time/batch=0.91s
32/44874 (epoch 0.071) train_loss=3.44514704 time/batch=7.79s
33/44874 (epoch 0.074) train_loss=3.16630578 time/batch=1.18s
34/44874 (epoch 0.076) train_loss=3.35279894 time/batch=1.71s
35/44874 (epoch 0.078) train_loss=3.22264385 time/batch=0.70s
36/44874 (epoch 0.080) train_loss=3.26687002 time/batch=0.91s
37/44874 (epoch 0.082) train_loss=3.18009686 time/batch=0.46s
38/44874 (epoch 0.085) train_loss=3.27756071 time/batch=1.48s
39/44874 (epoch 0.087) train_loss=3.24550104 time/batch=0.82s
40/44874 (epoch 0.089) train_loss=3.15148854 time/batch=0.35s
41/44874 (epoch 0.091) train_loss=3.20427752 time/batch=1.32s
42/44874 (epoch 0.094) train_loss=3.19347715 time/batch=0.82s
43/44874 (epoch 0.096) train_loss=3.21478724 time/batch=0.38s
44/44874 (epoch 0.098) train_loss=3.17918754 time/batch=0.29s
45/44874 (epoch 0.100) train_loss=3.32182431 time/batch=0.88s
46/44874 (epoch 0.103) train_loss=3.25108933 time/batch=1.94s
47/44874 (epoch 0.105) train_loss=3.12947416 time/batch=0.53s
48/44874 (epoch 0.107) train_loss=3.20958424 time/batch=0.72s
49/44874 (epoch 0.109) train_loss=3.24915457 time/batch=1.02s
50/44874 (epoch 0.111) train_loss=3.23875761 time/batch=0.59s
51/44874 (epoch 0.114) train_loss=3.13254380 time/batch=0.50s
52/44874 (epoch 0.116) train_loss=4.26541090 time/batch=0.32s
53/44874 (epoch 0.118) train_loss=3.29582548 time/batch=1.13s
54/44874 (epoch 0.120) train_loss=3.30442715 time/batch=1.46s
55/44874 (epoch 0.123) train_loss=3.25783634 time/batch=1.23s
56/44874 (epoch 0.125) train_loss=3.17233753 time/batch=0.54s
57/44874 (epoch 0.127) train_loss=3.23817563 time/batch=1.11s
58/44874 (epoch 0.129) train_loss=3.13514066 time/batch=1.25s
59/44874 (epoch 0.131) train_loss=3.19284010 time/batch=1.52s
60/44874 (epoch 0.134) train_loss=3.15176010 time/batch=0.47s
61/44874 (epoch 0.136) train_loss=3.22049189 time/batch=0.32s
62/44874 (epoch 0.138) train_loss=3.08816338 time/batch=0.41s
63/44874 (epoch 0.140) train_loss=3.14551687 time/batch=0.44s
64/44874 (epoch 0.143) train_loss=3.33644199 time/batch=1.89s
65/44874 (epoch 0.145) train_loss=3.17890429 time/batch=0.34s
66/44874 (epoch 0.147) train_loss=3.15572691 time/batch=0.54s
67/44874 (epoch 0.149) train_loss=3.20278215 time/batch=1.25s
68/44874 (epoch 0.152) train_loss=3.21930099 time/batch=0.59s
69/44874 (epoch 0.154) train_loss=3.30849910 time/batch=0.89s
70/44874 (epoch 0.156) train_loss=3.25111675 time/batch=1.18s
71/44874 (epoch 0.158) train_loss=3.20568657 time/batch=0.66s
72/44874 (epoch 0.160) train_loss=3.22968507 time/batch=0.83s
73/44874 (epoch 0.163) train_loss=3.18130803 time/batch=1.26s
74/44874 (epoch 0.165) train_loss=3.12399721 time/batch=0.33s
75/44874 (epoch 0.167) train_loss=3.25927639 time/batch=0.88s
76/44874 (epoch 0.169) train_loss=3.19902635 time/batch=0.72s
77/44874 (epoch 0.172) train_loss=3.19170594 time/batch=0.56s
78/44874 (epoch 0.174) train_loss=3.25543380 time/batch=1.07s
79/44874 (epoch 0.176) train_loss=3.05737901 time/batch=0.34s
80/44874 (epoch 0.178) train_loss=3.13033319 time/batch=0.57s
81/44874 (epoch 0.181) train_loss=3.19806075 time/batch=0.41s
82/44874 (epoch 0.183) train_loss=3.17605829 time/batch=0.98s
83/44874 (epoch 0.185) train_loss=3.16643548 time/batch=1.12s
84/44874 (epoch 0.187) train_loss=3.11480856 time/batch=0.47s
85/44874 (epoch 0.189) train_loss=3.15640187 time/batch=0.67s
86/44874 (epoch 0.192) train_loss=3.10714102 time/batch=0.61s
87/44874 (epoch 0.194) train_loss=3.41682434 time/batch=1.58s
88/44874 (epoch 0.196) train_loss=3.17454338 time/batch=0.56s
89/44874 (epoch 0.198) train_loss=3.25576472 time/batch=1.24s
90/44874 (epoch 0.201) train_loss=3.16586971 time/batch=0.37s
91/44874 (epoch 0.203) train_loss=3.07790041 time/batch=0.98s
92/44874 (epoch 0.205) train_loss=3.17494702 time/batch=0.92s
93/44874 (epoch 0.207) train_loss=3.14073348 time/batch=1.01s
94/44874 (epoch 0.209) train_loss=3.19577503 time/batch=0.81s
95/44874 (epoch 0.212) train_loss=3.11821246 time/batch=0.38s
96/44874 (epoch 0.214) train_loss=3.12482047 time/batch=0.84s
97/44874 (epoch 0.216) train_loss=3.15107107 time/batch=0.69s
98/44874 (epoch 0.218) train_loss=3.32958555 time/batch=1.30s
99/44874 (epoch 0.221) train_loss=3.07128906 time/batch=0.64s
100/44874 (epoch 0.223) train_loss=3.24694347 time/batch=1.04s
101/44874 (epoch 0.225) train_loss=3.15916944 time/batch=1.16s
102/44874 (epoch 0.227) train_loss=3.20176721 time/batch=1.54s
103/44874 (epoch 0.230) train_loss=3.15634704 time/batch=0.68s
104/44874 (epoch 0.232) train_loss=3.05600238 time/batch=0.49s
105/44874 (epoch 0.234) train_loss=3.09652925 time/batch=0.66s
106/44874 (epoch 0.236) train_loss=3.03201604 time/batch=0.64s
107/44874 (epoch 0.238) train_loss=3.03157258 time/batch=0.39s
108/44874 (epoch 0.241) train_loss=3.13157773 time/batch=0.46s
109/44874 (epoch 0.243) train_loss=3.15529013 time/batch=0.55s
110/44874 (epoch 0.245) train_loss=3.13585067 time/batch=0.45s
111/44874 (epoch 0.247) train_loss=3.13234735 time/batch=0.43s
112/44874 (epoch 0.250) train_loss=3.10119247 time/batch=0.47s
113/44874 (epoch 0.252) train_loss=3.21850157 time/batch=0.88s
114/44874 (epoch 0.254) train_loss=3.09144831 time/batch=0.44s
115/44874 (epoch 0.256) train_loss=3.20518923 time/batch=0.85s
116/44874 (epoch 0.259) train_loss=3.21780562 time/batch=1.08s
117/44874 (epoch 0.261) train_loss=3.05922174 time/batch=0.60s
118/44874 (epoch 0.263) train_loss=3.18136835 time/batch=1.58s
119/44874 (epoch 0.265) train_loss=3.20489120 time/batch=0.71s
120/44874 (epoch 0.267) train_loss=3.24494529 time/batch=0.84s
121/44874 (epoch 0.270) train_loss=3.18727231 time/batch=0.89s
122/44874 (epoch 0.272) train_loss=3.19810915 time/batch=0.95s
123/44874 (epoch 0.274) train_loss=3.14728642 time/batch=0.66s
124/44874 (epoch 0.276) train_loss=3.13289785 time/batch=0.55s
125/44874 (epoch 0.279) train_loss=3.11627436 time/batch=0.71s
126/44874 (epoch 0.281) train_loss=3.06084180 time/batch=0.48s
127/44874 (epoch 0.283) train_loss=3.11967587 time/batch=0.55s
128/44874 (epoch 0.285) train_loss=3.11903691 time/batch=0.92s
129/44874 (epoch 0.287) train_loss=3.21912289 time/batch=0.88s
130/44874 (epoch 0.290) train_loss=3.12606430 time/batch=0.95s
131/44874 (epoch 0.292) train_loss=3.17218518 time/batch=0.61s
132/44874 (epoch 0.294) train_loss=3.08517385 time/batch=0.42s
133/44874 (epoch 0.296) train_loss=3.02370715 time/batch=0.50s
134/44874 (epoch 0.299) train_loss=3.14441085 time/batch=0.44s
135/44874 (epoch 0.301) train_loss=3.28850818 time/batch=1.12s
136/44874 (epoch 0.303) train_loss=3.10114193 time/batch=0.75s
137/44874 (epoch 0.305) train_loss=3.21794152 time/batch=1.07s
138/44874 (epoch 0.308) train_loss=3.17174268 time/batch=0.91s
139/44874 (epoch 0.310) train_loss=3.21620655 time/batch=0.86s
140/44874 (epoch 0.312) train_loss=3.15653014 time/batch=0.84s
141/44874 (epoch 0.314) train_loss=3.22911739 time/batch=0.82s
142/44874 (epoch 0.316) train_loss=3.12640858 time/batch=0.66s
143/44874 (epoch 0.319) train_loss=3.10697174 time/batch=0.72s
144/44874 (epoch 0.321) train_loss=3.06551027 time/batch=0.35s
145/44874 (epoch 0.323) train_loss=3.22198915 time/batch=1.92s
146/44874 (epoch 0.325) train_loss=3.13921356 time/batch=0.59s
147/44874 (epoch 0.328) train_loss=3.18493128 time/batch=0.74s
148/44874 (epoch 0.330) train_loss=3.21381497 time/batch=0.96s
149/44874 (epoch 0.332) train_loss=3.20514774 time/batch=0.86s
150/44874 (epoch 0.334) train_loss=3.22206140 time/batch=0.78s
151/44874 (epoch 0.336) train_loss=3.20251966 time/batch=0.72s
152/44874 (epoch 0.339) train_loss=3.13016510 time/batch=0.55s
153/44874 (epoch 0.341) train_loss=3.13134980 time/batch=0.57s
154/44874 (epoch 0.343) train_loss=3.00262904 time/batch=0.62s
155/44874 (epoch 0.345) train_loss=3.16382957 time/batch=0.75s
156/44874 (epoch 0.348) train_loss=3.05057669 time/batch=0.34s
157/44874 (epoch 0.350) train_loss=3.19343829 time/batch=0.75s
158/44874 (epoch 0.352) train_loss=3.16485596 time/batch=0.99s
159/44874 (epoch 0.354) train_loss=3.13284349 time/batch=0.67s
160/44874 (epoch 0.357) train_loss=3.13313222 time/batch=0.78s
161/44874 (epoch 0.359) train_loss=3.22183037 time/batch=0.81s
162/44874 (epoch 0.361) train_loss=3.06282520 time/batch=0.42s
163/44874 (epoch 0.363) train_loss=2.97274232 time/batch=0.49s
164/44874 (epoch 0.365) train_loss=3.13086629 time/batch=0.72s
165/44874 (epoch 0.368) train_loss=3.16081548 time/batch=0.38s
166/44874 (epoch 0.370) train_loss=3.11227202 time/batch=0.70s
167/44874 (epoch 0.372) train_loss=2.95791745 time/batch=0.62s
168/44874 (epoch 0.374) train_loss=3.16111684 time/batch=1.03s
169/44874 (epoch 0.377) train_loss=3.05969667 time/batch=0.69s
170/44874 (epoch 0.379) train_loss=3.19383907 time/batch=0.99s
171/44874 (epoch 0.381) train_loss=3.01038933 time/batch=0.46s
172/44874 (epoch 0.383) train_loss=3.18290639 time/batch=0.83s
173/44874 (epoch 0.386) train_loss=3.09844327 time/batch=0.39s
174/44874 (epoch 0.388) train_loss=3.13611770 time/batch=0.95s
175/44874 (epoch 0.390) train_loss=3.14575624 time/batch=0.71s
176/44874 (epoch 0.392) train_loss=3.10729170 time/batch=0.61s
177/44874 (epoch 0.394) train_loss=3.03257084 time/batch=0.45s
178/44874 (epoch 0.397) train_loss=3.03782582 time/batch=0.49s
179/44874 (epoch 0.399) train_loss=3.18823266 time/batch=1.20s
180/44874 (epoch 0.401) train_loss=3.02075124 time/batch=0.37s
181/44874 (epoch 0.403) train_loss=2.98610711 time/batch=0.44s
182/44874 (epoch 0.406) train_loss=3.30670643 time/batch=1.01s
183/44874 (epoch 0.408) train_loss=3.17489672 time/batch=0.99s
184/44874 (epoch 0.410) train_loss=3.13330674 time/batch=0.72s
185/44874 (epoch 0.412) train_loss=3.10777164 time/batch=0.77s
186/44874 (epoch 0.414) train_loss=3.14551783 time/batch=0.81s
187/44874 (epoch 0.417) train_loss=3.20012116 time/batch=1.00s
188/44874 (epoch 0.419) train_loss=3.09983087 time/batch=0.50s
189/44874 (epoch 0.421) train_loss=3.20615220 time/batch=1.06s
190/44874 (epoch 0.423) train_loss=3.07696581 time/batch=0.46s
191/44874 (epoch 0.426) train_loss=3.07834578 time/batch=0.52s
192/44874 (epoch 0.428) train_loss=2.98413682 time/batch=0.61s
193/44874 (epoch 0.430) train_loss=3.05147910 time/batch=0.51s
194/44874 (epoch 0.432) train_loss=3.05192375 time/batch=0.72s
195/44874 (epoch 0.435) train_loss=3.15307736 time/batch=0.81s
196/44874 (epoch 0.437) train_loss=3.05277491 time/batch=0.69s
197/44874 (epoch 0.439) train_loss=3.09096098 time/batch=0.73s
198/44874 (epoch 0.441) train_loss=3.12490392 time/batch=0.73s
199/44874 (epoch 0.443) train_loss=3.14334226 time/batch=0.76s
200/44874 (epoch 0.446) train_loss=3.07773590 time/batch=0.40s
201/44874 (epoch 0.448) train_loss=3.16645861 time/batch=1.00s
202/44874 (epoch 0.450) train_loss=3.36055851 time/batch=0.85s
203/44874 (epoch 0.452) train_loss=4.73812294 time/batch=0.80s
204/44874 (epoch 0.455) train_loss=5.83589411 time/batch=0.42s
205/44874 (epoch 0.457) train_loss=3.13095880 time/batch=0.87s
206/44874 (epoch 0.459) train_loss=3.12264824 time/batch=0.50s
207/44874 (epoch 0.461) train_loss=3.07035565 time/batch=0.54s
208/44874 (epoch 0.464) train_loss=2.99804688 time/batch=0.49s
209/44874 (epoch 0.466) train_loss=3.10588217 time/batch=0.72s
210/44874 (epoch 0.468) train_loss=3.11891079 time/batch=0.93s
211/44874 (epoch 0.470) train_loss=3.07910395 time/batch=0.42s
212/44874 (epoch 0.472) train_loss=3.24052358 time/batch=0.94s
213/44874 (epoch 0.475) train_loss=3.13577747 time/batch=0.90s
214/44874 (epoch 0.477) train_loss=3.12809920 time/batch=0.55s
215/44874 (epoch 0.479) train_loss=3.08872318 time/batch=0.67s
216/44874 (epoch 0.481) train_loss=3.19447041 time/batch=1.20s
217/44874 (epoch 0.484) train_loss=3.12831545 time/batch=0.47s
218/44874 (epoch 0.486) train_loss=3.09016228 time/batch=0.47s
219/44874 (epoch 0.488) train_loss=3.11749434 time/batch=0.68s
220/44874 (epoch 0.490) train_loss=3.05806875 time/batch=0.49s
221/44874 (epoch 0.492) train_loss=3.07260680 time/batch=0.53s
222/44874 (epoch 0.495) train_loss=3.27049923 time/batch=0.87s
223/44874 (epoch 0.497) train_loss=3.11789656 time/batch=0.73s
224/44874 (epoch 0.499) train_loss=2.97650075 time/batch=0.49s
225/44874 (epoch 0.501) train_loss=3.10766292 time/batch=0.60s
226/44874 (epoch 0.504) train_loss=3.17120385 time/batch=1.01s
227/44874 (epoch 0.506) train_loss=3.10755634 time/batch=0.70s
228/44874 (epoch 0.508) train_loss=3.09318542 time/batch=0.47s
229/44874 (epoch 0.510) train_loss=3.13230777 time/batch=0.56s
230/44874 (epoch 0.513) train_loss=3.19874501 time/batch=0.79s
231/44874 (epoch 0.515) train_loss=3.06050324 time/batch=0.50s
232/44874 (epoch 0.517) train_loss=3.04412413 time/batch=0.64s
233/44874 (epoch 0.519) train_loss=3.11078191 time/batch=0.90s
234/44874 (epoch 0.521) train_loss=3.10123158 time/batch=0.54s
235/44874 (epoch 0.524) train_loss=3.23278975 time/batch=0.95s
236/44874 (epoch 0.526) train_loss=3.15282321 time/batch=0.74s
237/44874 (epoch 0.528) train_loss=3.05936980 time/batch=0.53s
238/44874 (epoch 0.530) train_loss=3.10049486 time/batch=0.57s
239/44874 (epoch 0.533) train_loss=3.21769977 time/batch=0.87s
240/44874 (epoch 0.535) train_loss=3.10764647 time/batch=0.67s
241/44874 (epoch 0.537) train_loss=3.11005187 time/batch=0.64s
242/44874 (epoch 0.539) train_loss=3.14440632 time/batch=0.87s
243/44874 (epoch 0.542) train_loss=3.15604186 time/batch=0.57s
244/44874 (epoch 0.544) train_loss=3.10592699 time/batch=0.65s
245/44874 (epoch 0.546) train_loss=3.19256854 time/batch=0.57s
246/44874 (epoch 0.548) train_loss=3.13482070 time/batch=0.71s
247/44874 (epoch 0.550) train_loss=3.08779192 time/batch=0.59s
248/44874 (epoch 0.553) train_loss=3.08625126 time/batch=0.71s
249/44874 (epoch 0.555) train_loss=3.10620117 time/batch=0.95s
250/44874 (epoch 0.557) train_loss=3.01864195 time/batch=0.36s
251/44874 (epoch 0.559) train_loss=3.11304426 time/batch=0.70s
252/44874 (epoch 0.562) train_loss=3.15953541 time/batch=0.89s
253/44874 (epoch 0.564) train_loss=3.10229945 time/batch=0.60s
254/44874 (epoch 0.566) train_loss=3.07125854 time/batch=0.58s
255/44874 (epoch 0.568) train_loss=3.14059472 time/batch=0.71s
256/44874 (epoch 0.570) train_loss=3.07055259 time/batch=0.56s
257/44874 (epoch 0.573) train_loss=3.20986533 time/batch=0.91s
258/44874 (epoch 0.575) train_loss=3.01067472 time/batch=0.62s
259/44874 (epoch 0.577) train_loss=3.15433669 time/batch=0.54s
260/44874 (epoch 0.579) train_loss=2.97867918 time/batch=0.64s
261/44874 (epoch 0.582) train_loss=2.98833966 time/batch=0.51s
262/44874 (epoch 0.584) train_loss=3.15852475 time/batch=0.48s
263/44874 (epoch 0.586) train_loss=3.22724915 time/batch=0.69s
264/44874 (epoch 0.588) train_loss=3.11471367 time/batch=0.61s
265/44874 (epoch 0.591) train_loss=3.05190396 time/batch=0.53s
266/44874 (epoch 0.593) train_loss=3.02762604 time/batch=0.42s
267/44874 (epoch 0.595) train_loss=3.07794976 time/batch=0.71s
268/44874 (epoch 0.597) train_loss=3.05425525 time/batch=0.64s
269/44874 (epoch 0.599) train_loss=3.04697800 time/batch=0.68s
270/44874 (epoch 0.602) train_loss=3.14978170 time/batch=0.77s
271/44874 (epoch 0.604) train_loss=3.15687013 time/batch=0.77s
272/44874 (epoch 0.606) train_loss=3.12185597 time/batch=0.45s
273/44874 (epoch 0.608) train_loss=3.17653370 time/batch=0.59s
274/44874 (epoch 0.611) train_loss=3.15229464 time/batch=0.94s
275/44874 (epoch 0.613) train_loss=3.13702130 time/batch=0.77s
276/44874 (epoch 0.615) train_loss=3.08969355 time/batch=0.56s
277/44874 (epoch 0.617) train_loss=3.16623187 time/batch=0.89s
278/44874 (epoch 0.620) train_loss=3.05973816 time/batch=0.65s
279/44874 (epoch 0.622) train_loss=3.11338472 time/batch=0.95s
280/44874 (epoch 0.624) train_loss=3.17272544 time/batch=0.78s
281/44874 (epoch 0.626) train_loss=3.02485371 time/batch=0.63s
282/44874 (epoch 0.628) train_loss=3.14261174 time/batch=0.91s
283/44874 (epoch 0.631) train_loss=3.03413892 time/batch=0.62s
284/44874 (epoch 0.633) train_loss=2.93604827 time/batch=0.66s
285/44874 (epoch 0.635) train_loss=2.94811487 time/batch=0.47s
286/44874 (epoch 0.637) train_loss=3.01900625 time/batch=0.71s
287/44874 (epoch 0.640) train_loss=2.94226217 time/batch=0.62s
288/44874 (epoch 0.642) train_loss=3.07369781 time/batch=0.48s
289/44874 (epoch 0.644) train_loss=3.05263305 time/batch=0.48s
290/44874 (epoch 0.646) train_loss=3.01055789 time/batch=0.51s
291/44874 (epoch 0.648) train_loss=3.08856034 time/batch=0.76s
292/44874 (epoch 0.651) train_loss=3.00320053 time/batch=0.91s
293/44874 (epoch 0.653) train_loss=2.91104269 time/batch=0.50s
294/44874 (epoch 0.655) train_loss=3.07463121 time/batch=0.72s
295/44874 (epoch 0.657) train_loss=3.10427737 time/batch=0.68s
296/44874 (epoch 0.660) train_loss=3.00015402 time/batch=0.50s
297/44874 (epoch 0.662) train_loss=2.93346310 time/batch=0.49s
298/44874 (epoch 0.664) train_loss=3.11101913 time/batch=0.91s
299/44874 (epoch 0.666) train_loss=2.99401355 time/batch=0.56s
300/44874 (epoch 0.669) train_loss=2.97925305 time/batch=0.49s
301/44874 (epoch 0.671) train_loss=3.09600782 time/batch=0.65s
302/44874 (epoch 0.673) train_loss=3.17341566 time/batch=0.54s
303/44874 (epoch 0.675) train_loss=3.05204225 time/batch=0.53s
304/44874 (epoch 0.677) train_loss=3.07912040 time/batch=0.74s
305/44874 (epoch 0.680) train_loss=3.06508350 time/batch=0.59s
306/44874 (epoch 0.682) train_loss=2.98150373 time/batch=0.51s
307/44874 (epoch 0.684) train_loss=3.18020368 time/batch=0.74s
308/44874 (epoch 0.686) train_loss=3.04403138 time/batch=0.61s
309/44874 (epoch 0.689) train_loss=3.04632926 time/batch=0.59s
310/44874 (epoch 0.691) train_loss=3.05141258 time/batch=0.62s
311/44874 (epoch 0.693) train_loss=3.12957716 time/batch=0.66s
312/44874 (epoch 0.695) train_loss=3.07988644 time/batch=0.56s
313/44874 (epoch 0.698) train_loss=3.04840231 time/batch=0.51s
314/44874 (epoch 0.700) train_loss=2.95157838 time/batch=0.48s
315/44874 (epoch 0.702) train_loss=3.11097074 time/batch=0.69s
316/44874 (epoch 0.704) train_loss=3.17390132 time/batch=0.65s
317/44874 (epoch 0.706) train_loss=3.06515431 time/batch=0.75s
318/44874 (epoch 0.709) train_loss=3.09118581 time/batch=0.98s
319/44874 (epoch 0.711) train_loss=3.11814785 time/batch=0.59s
320/44874 (epoch 0.713) train_loss=3.10730767 time/batch=0.58s
321/44874 (epoch 0.715) train_loss=3.06095004 time/batch=0.55s
322/44874 (epoch 0.718) train_loss=2.98218989 time/batch=0.50s
323/44874 (epoch 0.720) train_loss=3.10715604 time/batch=0.56s
324/44874 (epoch 0.722) train_loss=3.07854247 time/batch=0.73s
325/44874 (epoch 0.724) train_loss=3.01644063 time/batch=0.61s
326/44874 (epoch 0.726) train_loss=3.05553937 time/batch=0.69s
327/44874 (epoch 0.729) train_loss=3.25118399 time/batch=0.92s
328/44874 (epoch 0.731) train_loss=2.96224546 time/batch=0.47s
329/44874 (epoch 0.733) train_loss=3.15156126 time/batch=0.56s
330/44874 (epoch 0.735) train_loss=3.08469057 time/batch=0.72s
331/44874 (epoch 0.738) train_loss=3.17755842 time/batch=0.75s
332/44874 (epoch 0.740) train_loss=3.04766774 time/batch=0.61s
333/44874 (epoch 0.742) train_loss=3.06228566 time/batch=0.65s
334/44874 (epoch 0.744) train_loss=3.05492496 time/batch=0.48s
335/44874 (epoch 0.747) train_loss=3.06742048 time/batch=0.69s
336/44874 (epoch 0.749) train_loss=3.00626826 time/batch=0.49s
337/44874 (epoch 0.751) train_loss=3.21418333 time/batch=0.92s
338/44874 (epoch 0.753) train_loss=3.12881398 time/batch=0.44s
339/44874 (epoch 0.755) train_loss=2.97775698 time/batch=0.49s
340/44874 (epoch 0.758) train_loss=3.06044173 time/batch=0.65s
341/44874 (epoch 0.760) train_loss=3.13767242 time/batch=0.70s
342/44874 (epoch 0.762) train_loss=3.10326219 time/batch=0.65s
343/44874 (epoch 0.764) train_loss=3.05005193 time/batch=0.59s
344/44874 (epoch 0.767) train_loss=3.06963372 time/batch=0.66s
345/44874 (epoch 0.769) train_loss=3.07300806 time/batch=0.70s
346/44874 (epoch 0.771) train_loss=3.01907015 time/batch=0.61s
347/44874 (epoch 0.773) train_loss=3.12159514 time/batch=0.65s
348/44874 (epoch 0.776) train_loss=3.07308769 time/batch=0.70s
349/44874 (epoch 0.778) train_loss=3.12777829 time/batch=0.60s
350/44874 (epoch 0.780) train_loss=2.95323992 time/batch=0.51s
351/44874 (epoch 0.782) train_loss=3.04294538 time/batch=0.64s
352/44874 (epoch 0.784) train_loss=3.03460026 time/batch=0.60s
353/44874 (epoch 0.787) train_loss=3.08797240 time/batch=0.72s
354/44874 (epoch 0.789) train_loss=3.03870130 time/batch=0.51s
355/44874 (epoch 0.791) train_loss=3.05892396 time/batch=0.48s
356/44874 (epoch 0.793) train_loss=3.14264584 time/batch=0.68s
357/44874 (epoch 0.796) train_loss=2.99220014 time/batch=0.61s
358/44874 (epoch 0.798) train_loss=3.10812092 time/batch=0.47s
359/44874 (epoch 0.800) train_loss=2.99089909 time/batch=0.62s
360/44874 (epoch 0.802) train_loss=2.96651173 time/batch=0.48s
361/44874 (epoch 0.804) train_loss=3.16405511 time/batch=0.57s
362/44874 (epoch 0.807) train_loss=3.07103944 time/batch=0.59s
363/44874 (epoch 0.809) train_loss=3.14948010 time/batch=0.72s
364/44874 (epoch 0.811) train_loss=2.98960757 time/batch=0.63s
365/44874 (epoch 0.813) train_loss=3.19051194 time/batch=0.67s
366/44874 (epoch 0.816) train_loss=3.05410671 time/batch=0.56s
367/44874 (epoch 0.818) train_loss=3.01724672 time/batch=0.54s
368/44874 (epoch 0.820) train_loss=3.06952453 time/batch=0.68s
369/44874 (epoch 0.822) train_loss=3.06085300 time/batch=0.67s
370/44874 (epoch 0.825) train_loss=3.00103569 time/batch=0.50s
371/44874 (epoch 0.827) train_loss=3.15195513 time/batch=0.74s
372/44874 (epoch 0.829) train_loss=3.13487363 time/batch=0.74s
373/44874 (epoch 0.831) train_loss=3.04935837 time/batch=0.55s
374/44874 (epoch 0.833) train_loss=3.06790519 time/batch=0.92s
375/44874 (epoch 0.836) train_loss=3.02471733 time/batch=0.55s
376/44874 (epoch 0.838) train_loss=3.05268359 time/batch=0.54s
377/44874 (epoch 0.840) train_loss=3.15400958 time/batch=0.69s
378/44874 (epoch 0.842) train_loss=2.99517274 time/batch=0.65s
379/44874 (epoch 0.845) train_loss=3.16052890 time/batch=0.49s
380/44874 (epoch 0.847) train_loss=3.05048943 time/batch=0.60s
381/44874 (epoch 0.849) train_loss=2.98284197 time/batch=0.64s
382/44874 (epoch 0.851) train_loss=2.97390962 time/batch=0.48s
383/44874 (epoch 0.854) train_loss=2.93975544 time/batch=0.50s
384/44874 (epoch 0.856) train_loss=3.02536488 time/batch=0.65s
385/44874 (epoch 0.858) train_loss=3.05437708 time/batch=0.65s
386/44874 (epoch 0.860) train_loss=2.98760223 time/batch=0.64s
387/44874 (epoch 0.862) train_loss=2.95159602 time/batch=0.48s
388/44874 (epoch 0.865) train_loss=3.05843806 time/batch=0.73s
389/44874 (epoch 0.867) train_loss=3.06653547 time/batch=0.68s
390/44874 (epoch 0.869) train_loss=2.96769524 time/batch=0.61s
391/44874 (epoch 0.871) train_loss=2.93150258 time/batch=0.62s
392/44874 (epoch 0.874) train_loss=3.10295105 time/batch=0.70s
393/44874 (epoch 0.876) train_loss=2.95457125 time/batch=0.48s
394/44874 (epoch 0.878) train_loss=3.00108218 time/batch=0.62s
395/44874 (epoch 0.880) train_loss=3.10644650 time/batch=0.92s
396/44874 (epoch 0.882) train_loss=2.98304868 time/batch=0.61s
